sample	batch	batch_shortname
32151640_EXO_S32	180322-190603	A
32151675_EXO_S28	180322-190603	A
32151681_EXO_S21	180322-190603	A
32151161_EXO_S19	180322-190603	A
32151113_EXO_S24	180322-190603	A
32140243_EXO_S2	180322-190603	A
32150300_EXO_S4	180322-190603	A
32151662_EXO_S25	180322-190603	A
32150296_EXO_S34	180322-190603	A
32151649_EXO_S7	180322-190603	A
32151808_EXO_S16	180322-190603	A
32152166_EXO_S8	180322-190603	A
180322-190603_Brain_S36	180322-190603	A
32150759_EXO_S26	180322-190603	A
32151206_EXO_S12	180322-190603	A
32151872_EXO_S27	180322-190603	A
32152211_EXO_S35	180322-190603	A
32151109_EXO_S17	180322-190603	A
32152477_EXO_S29	180322-190603	A
32151201_EXO_S23	180322-190603	A
32141753_EXO_S10	180322-190603	A
32150101_EXO_S3	180322-190603	A
32151828_EXO_S15	180322-190603	A
32152118_EXO_S1	180322-190603	A
32151204_EXO_S9	180322-190603	A
32151684_EXO_S13	180322-190603	A
32150228_EXO_S18	180322-190603	A
32152206_EXO_S33	180322-190603	A
32151642_EXO_S5	180322-190603	A
32151157_EXO_S31	180322-190603	A
32151086_EXO_S6	180322-190603	A
32150688_EXO_S20	180322-190603	A
32151947_EXO_S11	180322-190603	A
32151680_EXO_S22	180322-190603	A
32150301_EXO_S14	180322-190603	A
32150744_EXO_S30	180322-190603	A
32160475_EXO_S26	180626-180628-190531	B
32161242_EXO_S7	180626-180628-190531	B
32160187_EXO_S9	180626-180628-190531	B
32160696_EXO_S3	180626-180628-190531	B
32151244_EXO_S30	180626-180628-190531	B
180626-180628-190531_Brain_S32	180626-180628-190531	B
32161406_EXO_S4	180626-180628-190531	B
32160790_EXO_S27	180626-180628-190531	B
32152197_EXO_S12	180626-180628-190531	B
32150184_EXO_S18	180626-180628-190531	B
32161462_EXO_S13	180626-180628-190531	B
32151184_EXO_S8	180626-180628-190531	B
32151974_EXO_S24	180626-180628-190531	B
32160074_EXO_S17	180626-180628-190531	B
32151031_EXO_S19	180626-180628-190531	B
32151484_EXO_S11	180626-180628-190531	B
32151694_EXO_S10	180626-180628-190531	B
32160668_EXO_S16	180626-180628-190531	B
32152356_EXO_S21	180626-180628-190531	B
32151971_EXO_S23	180626-180628-190531	B
32160196_EXO_S22	180626-180628-190531	B
32151750_EXO_S14	180626-180628-190531	B
32150887_EXO_S28	180626-180628-190531	B
32150225_EXO_S2	180626-180628-190531	B
32152444_EXO_S25	180626-180628-190531	B
32140237_EXO_S31	180626-180628-190531	B
32150168_EXO_S6	180626-180628-190531	B
32152194_EXO_S15	180626-180628-190531	B
32151686_EXO_S20	180626-180628-190531	B
32161248_EXO_S29	180626-180628-190531	B
32161349_EXO_S5	180626-180628-190531	B
32150855_EXO_S1	180626-180628-190531	B
32152388_EXO_S22	180726-190530	C
32170641_EXO_S35	180726-190530	C
32160652_EXO_S28	180726-190530	C
32152480_EXO_S3	180726-190530	C
32170419_EXO_S34	180726-190530	C
32160008_EXO_S24	180726-190530	C
32151370_EXO_S14	180726-190530	C
32150690_EXO_S2	180726-190530	C
180726-190530_Brain_S36	180726-190530	C
32151510_EXO_S15	180726-190530	C
32160118_EXO_S26	180726-190530	C
32150162_EXO_S11	180726-190530	C
32151633_EXO_S16	180726-190530	C
32152263_EXO_S7	180726-190530	C
32152081_EXO_S18	180726-190530	C
32152276_EXO_S21	180726-190530	C
32160740_EXO_S29	180726-190530	C
32152259_EXO_S20	180726-190530	C
32160002_EXO_S23	180726-190530	C
32161448_EXO_S32	180726-190530	C
32152082_EXO_S19	180726-190530	C
32152019_EXO_S17	180726-190530	C
32161241_EXO_S31	180726-190530	C
32170071_EXO_S33	180726-190530	C
32141754_EXO_S5	180726-190530	C
32150091_EXO_S1	180726-190530	C
32160964_EXO_S30	180726-190530	C
32160619_EXO_S27	180726-190530	C
32151247_EXO_S13	180726-190530	C
32150880_EXO_S12	180726-190530	C
32151523_EXO_S6	180726-190530	C
32141765_EXO_S9	180726-190530	C
32150158_EXO_S10	180726-190530	C
32140235_EXO_S8	180726-190530	C
32160071_EXO_S25	180726-190530	C
32151648_EXO_S4	180726-190530	C
32152253_EXO_S33	180913-190529	D
180913-190529_Brain_S36	180913-190529	D
32151859_EXO_S28	180913-190529	D
32150292_EXO_S9	180913-190529	D
32152341_EXO_S35	180913-190529	D
32151226_EXO_S21	180913-190529	D
32150013_EXO_S3	180913-190529	D
32150698_EXO_S12	180913-190529	D
32151984_EXO_S30	180913-190529	D
32152084_EXO_S31	180913-190529	D
32150243_EXO_S8	180913-190529	D
32151180_EXO_S20	180913-190529	D
32141643_EXO_S1	180913-190529	D
32141786_EXO_S2	180913-190529	D
32150076_EXO_S4	180913-190529	D
32150849_EXO_S15	180913-190529	D
32151444_EXO_S22	180913-190529	D
32150163_EXO_S7	180913-190529	D
32151565_EXO_S23	180913-190529	D
32151026_EXO_S17	180913-190529	D
32150825_EXO_S13	180913-190529	D
32152273_EXO_S34	180913-190529	D
32151691_EXO_S25	180913-190529	D
32150844_EXO_S14	180913-190529	D
32150424_EXO_S10	180913-190529	D
32152094_EXO_S32	180913-190529	D
32151125_EXO_S18	180913-190529	D
32150080_EXO_S5	180913-190529	D
32151765_EXO_S27	180913-190529	D
32151881_EXO_S29	180913-190529	D
32150696_EXO_S11	180913-190529	D
32151725_EXO_S26	180913-190529	D
32150993_EXO_S16	180913-190529	D
32150147_EXO_S6	180913-190529	D
32151667_EXO_S24	180913-190529	D
32151152_EXO_S19	180913-190529	D
180919-190527_Brain_S35	180919-190527	E
32160466_EXO_S13	180919-190527	E
32160120_EXO_S8	180919-190527	E
32160246_EXO_S10	180919-190527	E
32170365_EXO_S26	180919-190527	E
32170367_EXO_S27	180919-190527	E
32152451_EXO_S5	180919-190527	E
32161246_EXO_S18	180919-190527	E
32170368_EXO_S28	180919-190527	E
32170400_EXO_S30	180919-190527	E
32160472_EXO_S14	180919-190527	E
32160241_EXO_S9	180919-190527	E
32152359_EXO_S1	180919-190527	E
32161415_EXO_S22	180919-190527	E
32161252_EXO_S19	180919-190527	E
32170381_EXO_S29	180919-190527	E
32152366_EXO_S2	180919-190527	E
32150043_EXO_S34	180919-190527	E
32170453_EXO_S31	180919-190527	E
32170276_EXO_S24	180919-190527	E
32152381_EXO_S3	180919-190527	E
32161367_EXO_S21	180919-190527	E
32160457_EXO_S12	180919-190527	E
32152446_EXO_S4	180919-190527	E
32160782_EXO_S17	180919-190527	E
32160083_EXO_S7	180919-190527	E
32170613_EXO_S32	180919-190527	E
32160323_EXO_S11	180919-190527	E
32170644_EXO_S33	180919-190527	E
32160600_EXO_S15	180919-190527	E
32161358_EXO_S20	180919-190527	E
32160028_EXO_S6	180919-190527	E
32160766_EXO_S16	180919-190527	E
32170346_EXO_S25	180919-190527	E
32170068_EXO_S23	180919-190527	E
32160009_EXO_S30	181003-190524	F
32152260_EXO_S26	181003-190524	F
32152408_EXO_S29	181003-190524	F
32160078_EXO_S32	181003-190524	F
32150179_EXO_S2	181003-190524	F
32160080_EXO_S33	181003-190524	F
32150313_EXO_S5	181003-190524	F
32151181_EXO_S16	181003-190524	F
32151178_EXO_S15	181003-190524	F
32152087_EXO_S24	181003-190524	F
32151988_EXO_S22	181003-190524	F
32160019_EXO_S31	181003-190524	F
32152030_EXO_S23	181003-190524	F
32151021_EXO_S13	181003-190524	F
32150156_EXO_S1	181003-190524	F
32151970_EXO_S21	181003-190524	F
32151029_EXO_S14	181003-190524	F
32150829_EXO_S9	181003-190524	F
32150792_EXO_S8	181003-190524	F
181003-190524_Brain_S35	181003-190524	F
32151754_EXO_S20	181003-190524	F
32150309_EXO_S4	181003-190524	F
32160185_EXO_S34	181003-190524	F
32151018_EXO_S12	181003-190524	F
32151480_EXO_S17	181003-190524	F
32150697_EXO_S7	181003-190524	F
32152351_EXO_S28	181003-190524	F
32150318_EXO_S6	181003-190524	F
32152200_EXO_S25	181003-190524	F
32150274_EXO_S3	181003-190524	F
32151489_EXO_S18	181003-190524	F
32150882_EXO_S11	181003-190524	F
32151625_EXO_S19	181003-190524	F
32150835_EXO_S10	181003-190524	F
32152348_EXO_S27	181003-190524	F
32160965_EXO_S9	181004-190521	G
32160622_EXO_S5	181004-190521	G
32161245_EXO_S17	181004-190521	G
32170434_EXO_S28	181004-190521	G
32160340_EXO_S2	181004-190521	G
32161045_EXO_S12	181004-190521	G
32170383_EXO_S25	181004-190521	G
32170272_EXO_S24	181004-190521	G
32160628_EXO_S6	181004-190521	G
32161104_EXO_S15	181004-190521	G
32161237_EXO_S16	181004-190521	G
32170016_EXO_S20	181004-190521	G
181004-190521_Brain_S35	181004-190521	G
32161013_EXO_S11	181004-190521	G
32170385_EXO_S26	181004-190521	G
32150161_EXO_S32	181004-190521	G
32160612_EXO_S4	181004-190521	G
32161253_EXO_S18	181004-190521	G
32170268_EXO_S22	181004-190521	G
32170269_EXO_S23	181004-190521	G
32150116_EXO_S31	181004-190521	G
32161004_EXO_S10	181004-190521	G
32161392_EXO_S19	181004-190521	G
32160765_EXO_S8	181004-190521	G
32170450_EXO_S29	181004-190521	G
32160373_EXO_S3	181004-190521	G
32160284_EXO_S1	181004-190521	G
32170409_EXO_S27	181004-190521	G
32170083_EXO_S21	181004-190521	G
32161065_EXO_S14	181004-190521	G
32150978_EXO_S34	181004-190521	G
32161046_EXO_S13	181004-190521	G
32160670_EXO_S7	181004-190521	G
32170652_EXO_S30	181004-190521	G
32150704_EXO_S33	181004-190521	G
32170378_EXO_S26	181023-190319	H
32161454_EXO_S20	181023-190319	H
32160526_EXO_S15	181023-190319	H
32152086_EXO_S7	181023-190319	H
32151130_EXO_S2	181023-190319	H
32151185_EXO_S4	181023-190319	H
32170440_EXO_S27	181023-190319	H
32152175_EXO_S9	181023-190319	H
32152337_EXO_S10	181023-190319	H
32151033_EXO_S1	181023-190319	H
32170273_EXO_S23	181023-190319	H
181023-190319_Brain_S29	181023-190319	H
32152088_EXO_S8	181023-190319	H
32151825_EXO_S6	181023-190319	H
32151151_EXO_S3	181023-190319	H
32170329_EXO_S24	181023-190319	H
32170337_EXO_S25	181023-190319	H
32160079_EXO_S13	181023-190319	H
32152347_EXO_S11	181023-190319	H
32160791_EXO_S16	181023-190319	H
32161000_EXO_S17	181023-190319	H
32160288_EXO_S14	181023-190319	H
32170032_EXO_S21	181023-190319	H
32170447_EXO_S28	181023-190319	H
32160018_EXO_S12	181023-190319	H
32170073_EXO_S22	181023-190319	H
32161249_EXO_S19	181023-190319	H
32151764_EXO_S5	181023-190319	H
32161037_EXO_S18	181023-190319	H
